StudyId,DateTimeStudyAdded,SystematicSearchId,SystematicSearchName,InvestigatorIds,InvestigatorNames,DateTimeOfScreenings,ScreeningDecisions,ScreeningStatus
35479b10-8b24-4b73-8512-1842fbfe9f65,2023-08-07 14:40:51,e98127ba-c265-4b5c-8d9d-702ce973b094,upload test,,,,,InsufficientlyScreened
35e7b96d-09f7-4b81-9c9c-785ca4e61a81,2023-08-07 14:40:51,e98127ba-c265-4b5c-8d9d-702ce973b094,upload test,,,,,InsufficientlyScreened
0734cc79-faec-486a-a3ab-a7586fe53424,2023-08-07 14:40:51,e98127ba-c265-4b5c-8d9d-702ce973b094,upload test,,,,,InsufficientlyScreened
1310d819-4094-499b-b6ec-02022f5ba20d,2023-08-07 14:40:51,e98127ba-c265-4b5c-8d9d-702ce973b094,upload test,,,,,InsufficientlyScreened
3fdc2905-1101-4451-bb68-597ac4d7521b,2023-08-07 14:40:51,e98127ba-c265-4b5c-8d9d-702ce973b094,upload test,,,,,InsufficientlyScreened
46db74d5-df77-42d0-98c8-c511bc75a947,2023-08-07 14:40:51,e98127ba-c265-4b5c-8d9d-702ce973b094,upload test,,,,,InsufficientlyScreened
69c6ed45-8cb1-41f8-a5b8-1eae045cb5dc,2023-08-07 14:40:51,e98127ba-c265-4b5c-8d9d-702ce973b094,upload test,,,,,InsufficientlyScreened
70c4baaa-a6d2-46db-baed-6c413f74f3bc,2023-08-07 14:40:51,e98127ba-c265-4b5c-8d9d-702ce973b094,upload test,,,,,InsufficientlyScreened
36aa9304-aae5-4224-a829-a19b4596ffa7,2023-08-07 14:40:51,e98127ba-c265-4b5c-8d9d-702ce973b094,upload test,,,,,InsufficientlyScreened
3584b36b-e628-4ee3-b482-4ee0a8fa31b9,2023-08-07 14:40:51,e98127ba-c265-4b5c-8d9d-702ce973b094,upload test,,,,,InsufficientlyScreened
53a5f893-600a-453f-b891-db7e26cea2e0,2023-08-07 14:40:51,e98127ba-c265-4b5c-8d9d-702ce973b094,upload test,,,,,InsufficientlyScreened
9e1a4c31-98b3-4f09-9b84-106211bc1966,2023-08-07 14:40:51,e98127ba-c265-4b5c-8d9d-702ce973b094,upload test,,,,,InsufficientlyScreened
af4e9a62-0a74-4ff7-abb7-d54a9cd17062,2023-08-07 14:40:51,e98127ba-c265-4b5c-8d9d-702ce973b094,upload test,,,,,InsufficientlyScreened
9200ac4b-1b2e-4969-a3f7-f4abfbaacb88,2023-08-07 14:40:51,e98127ba-c265-4b5c-8d9d-702ce973b094,upload test,,,,,InsufficientlyScreened
da8b6977-e7b9-4f9b-89cc-351ba1af59d8,2023-08-07 14:40:51,e98127ba-c265-4b5c-8d9d-702ce973b094,upload test,,,,,InsufficientlyScreened
74731b0b-ec76-4144-b50d-080bf52ec272,2023-08-07 14:40:51,e98127ba-c265-4b5c-8d9d-702ce973b094,upload test,,,,,InsufficientlyScreened
d7e132bc-ba39-4941-9777-2918755a33b4,2023-08-07 14:40:51,e98127ba-c265-4b5c-8d9d-702ce973b094,upload test,,,,,InsufficientlyScreened
aa9e81d4-9e8f-4ace-8ead-bc4d66ded142,2023-08-07 14:40:51,e98127ba-c265-4b5c-8d9d-702ce973b094,upload test,,,,,InsufficientlyScreened
c4998032-972c-4dc2-8e77-4629d07eb95e,2023-08-07 14:40:51,e98127ba-c265-4b5c-8d9d-702ce973b094,upload test,dc46ca91-f68a-4a61-b4f4-e26c16a2d1a1,Olena Maksym,2023-10-10 10:59:40,Excluded,InsufficientlyScreened
897b0054-b9e8-48f3-b36c-679770f0b0f6,2023-08-07 14:40:51,e98127ba-c265-4b5c-8d9d-702ce973b094,upload test,,,,,InsufficientlyScreened
efa1539e-a565-4cd5-a287-b4f3c7b736df,2023-08-07 14:40:51,e98127ba-c265-4b5c-8d9d-702ce973b094,upload test,,,,,InsufficientlyScreened
bef2f1f0-146c-4b7d-94e1-ce61e5fd25cd,2023-08-07 14:40:51,e98127ba-c265-4b5c-8d9d-702ce973b094,upload test,207a08a1-9e0d-4888-9bca-fb1530a0878c,Alexandra Bannach-Brown,2023-08-08 12:20:02,Excluded,InsufficientlyScreened
87eebd06-040e-4889-979e-1c89da09c5d0,2023-08-07 14:40:51,e98127ba-c265-4b5c-8d9d-702ce973b094,upload test,207a08a1-9e0d-4888-9bca-fb1530a0878c,Alexandra Bannach-Brown,2023-08-08 12:20:03,Included,InsufficientlyScreened
13930499-0fce-4f51-bb8c-65d6fe853a15,2023-08-07 14:40:51,e98127ba-c265-4b5c-8d9d-702ce973b094,upload test,207a08a1-9e0d-4888-9bca-fb1530a0878c,Alexandra Bannach-Brown,2023-08-08 12:20:00,Excluded,InsufficientlyScreened
54d22ff1-c313-4202-a59e-8b736f622593,2023-08-07 14:40:51,e98127ba-c265-4b5c-8d9d-702ce973b094,upload test,,,,,InsufficientlyScreened
3b43b848-1965-40b5-9e5e-02675c28a965,2023-08-07 14:40:51,e98127ba-c265-4b5c-8d9d-702ce973b094,upload test,,,,,InsufficientlyScreened
5af557fe-6008-49d1-b2fe-0ca3e6cb19ca,2023-08-07 14:40:51,e98127ba-c265-4b5c-8d9d-702ce973b094,upload test,207a08a1-9e0d-4888-9bca-fb1530a0878c,Alexandra Bannach-Brown,2023-08-08 12:19:58,Excluded,InsufficientlyScreened
605b1728-6cd4-4698-a1f2-7860f268c7d0,2023-08-07 14:40:51,e98127ba-c265-4b5c-8d9d-702ce973b094,upload test,,,,,InsufficientlyScreened
f112b36a-b45d-41e6-9133-0a7a67bb8d12,2023-08-07 14:40:51,e98127ba-c265-4b5c-8d9d-702ce973b094,upload test,,,,,InsufficientlyScreened
4f53b89d-6852-4fc2-8dfe-038687ec0138,2023-08-07 14:40:51,e98127ba-c265-4b5c-8d9d-702ce973b094,upload test,,,,,InsufficientlyScreened
40f0ade6-b3cf-466c-87e9-687103a7d21c,2023-08-07 14:40:51,e98127ba-c265-4b5c-8d9d-702ce973b094,upload test,,,,,InsufficientlyScreened
9b6323c1-5dea-42c4-8220-4ab9fe4fe4c9,2023-08-07 14:40:51,e98127ba-c265-4b5c-8d9d-702ce973b094,upload test,,,,,InsufficientlyScreened
ad588656-1d60-494a-9fdb-cef247b1c600,2023-08-07 14:40:51,e98127ba-c265-4b5c-8d9d-702ce973b094,upload test,,,,,InsufficientlyScreened
